LadlabID,Gender,Age,AgeGroup,HCReceivedSupport,productivity,spon.consec,dce,ihc,junyi.ihc,productivity_junyi,notes_junyi,productivity_rms,prod_tomerge,ihc_rms,ihc_tomerge,fhc_rms,fhc_pc_indnum--seq,fhc_tomerge,spon.raw,sup.noerror,sup.raw,sup.times,notes_rms,undetected_error,why_productive
010516-K4,f,4.17,4-4.5y,1,nonprod,29,29,13,13,nonprod,,nonprod,nonprod,13,13,29,29,29,"1-13,15-29,26,27",29,"[30],9",1,,,
010916-D5,m,4.78,4.5-5y,0,prod,111,NA,111,111,prod,,prod,prod,111,111,111,111,111,1-111.,NA,NA,NA,,,count to 99 on their own without making more than three errors
011216-KD1,f,4,4-4.5y,0,NA,5,NA,5,5,nonprod,,nonprod,nonprod,5,5,12,5,5,"1-5,11,12,16,9,12,16.",NA,NA,NA,"coding FHC: because it seems like kid was generating numbers randomly, opted to classify FHC as the highest number reached when part of at least a two-number correct count sequence.",multiple errors before stopping mid-decade,
011216-WB,m,4.44,4-4.5y,0,NA,30,NA,15,15,nonprod,,nonprod,nonprod,15,15,37,30,30,"1-15,20-24,26-30,36,37,59.",NA,NA,NA,"coding FHC: because it seems like kid was generating numbers randomly, opted to classify FHC as the highest number reached when part of at least a two-number correct count sequence.",,
011316-SC,f,4.12,4-4.5y,1,nonprod,39,39,39,39,nonprod,,nonprod,nonprod,39,39,39,39,39,"1-39,80.",39,[40],1,,,
012016-AD,f,4.41,4-4.5y,1,prod,29,29,29,29,prod,,prod,prod,29,29,89,89,89,"1-29,40.",89,"[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",7,,,count at least two decades higher than DCE without making more than three errors in each of those two decades
012316-AK,f,4.75,4.5-5y,0,NA,38,NA,26,38,nonprod,,nonprod,nonprod,26,26,38,38,38,"1-26,29,22-38.",NA,NA,NA,"coding FHC: because it seems like kid was generating numbers randomly, opted to classify FHC as the highest number reached when part of at least a two-number correct count sequence.",multiple errors before stopping mid-decade,
012316-BO,f,4.46,4-4.5y,0,NA,20,NA,20,20,nonprod,,nonprod,nonprod,20,20,20,20,20,1-20.,NA,NA,NA,,,
012517-AD,F,5.42,5-5.5y,0,prod,109,39,39,39,prod,,prod,prod,39,39,109,39--109,109,"1-39,50-109,a billion, a billion and one-, a billion and two, a billion and three, a billion and four, a billion and five, a billion and six, a billion and seven, a billion and eight, a billion and nine, a jillion. [37,38,39],40-55",NA,NA,NA,,,count to 99 on their own without making more than three errors
020116-E,f,4.25,4-4.5y,1,prod,29,29,29,29,prod,,prod,prod,29,29,49,49,49,"1-29, twenty-ten",49,"[30],31-39,[40],41-49,[50],idk",3,,,count at least two decades higher than DCE without making more than three errors in each of those two decades
