LadlabID,ExclusionGroup,Notes,Gender,DOT,Lang1,Bilingual,Lang2,Location,Experimenter,Enterer,AudioRecorded,Age,AgeGroup,InfinityInterviewDone,HCReceivedSupport,Task,TaskType,TaskItem,Accuracy,Response,HCGroup.spontaneous.noerror,HCGroup.final,HCGroup.best,IsProductive.noerror,IsProductive.final,PGroup.final,SuccessorKnower,EndlessKnower,Category,InfinityStage,DecadeCounter,DecadeKnowledge,EndlessPartial
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,raw,,"1-13,15-29,26,27",1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,noerror,,13,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,consecutive,,29,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,supported,raw,,"[30],9",1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,supported,noerror,,29,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,IHC,,13,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,decchangeerror,,29,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,productivity,classification,,nonprod,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,supported,times,,1,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,practice,1,1,2,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,practice,5,1,6,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,23,0,idk,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,40,0,idk,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,62,0,idk,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,70,0,7,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,37,0,8,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,29,0,7,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,immediate,86,0,idk,1-low,2-medium,2-medium,0,0,2-Unproductive,0,0,A Non-knower,1,NA,NA,0
