	Base	IHC	NN	Productivity	Prod. gain
(Intercept)	-0.306	-0.306	-0.307	-0.313	-0.310
	(0.186)	(0.186)	(0.186)	(0.188)	(0.187)
Age.c	0.342	0.304	0.286	0.163	0.197
	(0.188)	(0.218)	(0.210)	(0.226)	(0.230)
IHC.c		0.074			
		(0.216)			
wcnscore.c			0.126		
			(0.209)		
Productivity: 1				0.661	
				(0.464)	
prod.gradient.c					0.254
					(0.231)
Nagelkerke R-sq.	0.037	0.038	0.041	0.059	0.050
Log-likelihood	-81.539	-81.480	-81.358	-80.515	-80.929
AIC	167.077	168.960	168.716	167.030	167.858
N	122	122	122	122	122
