"","X","Notes","Sex","Lang1","Bilingual","Lang2","Location","Experimenter","Enterer","AudioRecorded","Age","AgeGroup","InfinityInterviewDone","HCReceivedSupport","Task","TaskType","TaskItem","Accuracy","Response","SuccessorKnower","EndlessKnower","Category","LadlabID","Productivity","IHC","FHC","DCE","why_productive","suptimes.final","ProductivityStrict","delta.hc","Productivity.tertiary","ProductivityStrict.tertiary","AgeMonths","reminders.total","reminders.recovered","subID","InfinityKnower","NonKnower"
"1",1,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","spontaneous","raw",NA,"1-13,15-29,26,27",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"2",2,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","spontaneous","noerror",NA,"13",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"3",3,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","spontaneous","consecutive",NA,"29",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"4",4,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","supported","raw",NA,"[30],9",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"5",5,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","supported","noerror",NA,"29",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"6",6,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","spontaneous","IHC",NA,"13",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"7",7,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","spontaneous","decchangeerror",NA,"29",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"8",8,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","productivity","classification",NA,"nonprod",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"9",9,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","HC","supported","times",NA,"1",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
"10",10,NA,"f","english","n",NA,"museum","JC","JC","n",4.17,"4-4.5y","y","1","WCN","practice","1",1,"2",0,0,"A Non-knower","infinity-001","Nonproductive",13,29,29,"no improvement from dce",1,"Nonproductive",16,"Nonproductive","Nonproductive",50,NA,NA,"12","None or partial","No knowledge"
