"","LadlabID","subID","productivity","spon.raw","sup.raw","ihc","fhc","dce","decadeprompt","error.start","error.end","alldecadesprompted","notes"
"1","infinity-001","12","nonprod","1-13,15-29,26,27","[30],9",13,29,29,30,14,14,"30",""
"2","infinity-002","91","prod","1-111.",NA,99,99,NA,NA,NA,NA,NA,""
"3","infinity-003","1","nonprod","1-5,11,12,16,9,12,16.",NA,5,5,NA,NA,NA,NA,NA,""
"4","infinity-004","25","nonprod","1-15,20-24,26-30,36,37,59.",NA,15,30,NA,NA,16,19,NA,""
"5","infinity-004","25","nonprod","1-15,20-24,26-30,36,37,59.",NA,15,30,NA,NA,25,25,NA,""
"6","infinity-006","53","nonprod","1-39,80.","[40]",39,39,39,40,NA,NA,"40",""
"7","infinity-007","43","prod","1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,30,NA,NA,"30,40,50,60,70,80,90",""
"8","infinity-007","43","prod","1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,40,NA,NA,"30,40,50,60,70,80,90",""
"9","infinity-007","43","prod","1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,50,NA,NA,"30,40,50,60,70,80,90",""
"10","infinity-007","43","prod","1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,60,NA,NA,"30,40,50,60,70,80,90",""
"11","infinity-007","43","prod","1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,70,NA,NA,"30,40,50,60,70,80,90",""
"12","infinity-007","43","prod","1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,80,NA,NA,"30,40,50,60,70,80,90",""
"13","infinity-007","43","prod","1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,90,NA,NA,"30,40,50,60,70,80,90",""
"14","infinity-008","36","nonprod","1-26,29,22-38.",NA,26,38,NA,NA,NA,NA,NA,""
"15","infinity-012","59","prod","1-39,50-109,a billion, a billion and one-, a billion and two, a billion and three, a billion and four, a billion and five, a billion and six, a billion and seven, a billion and eight, a billion and nine, a jillion. [37,38,39],40-55",NA,39,99,NA,NA,40,49,NA,""
"16","infinity-014","42","prod","1-29, twenty-ten","[30],31-39,[40],41-49,[50],idk",29,49,29,30,NA,NA,"30,40,50",""
"17","infinity-014","42","prod","1-29, twenty-ten","[30],31-39,[40],41-49,[50],idk",29,49,29,40,NA,NA,"30,40,50",""
"18","infinity-014","42","prod","1-29, twenty-ten","[30],31-39,[40],41-49,[50],idk",29,49,29,50,NA,NA,"30,40,50",""
"19","infinity-017","13","nonprod","1-13,16,17,25, 65",NA,13,13,NA,NA,NA,NA,NA,""
"20","infinity-018","88","nonprod","1-77,107",NA,77,77,NA,NA,NA,NA,NA,""
"21","infinity-019","92","prod","1-110.",NA,99,99,NA,NA,NA,NA,NA,""
"22","infinity-020","61","nonprod","1-40.",NA,40,40,NA,NA,NA,NA,NA,""
"23","infinity-021","93","prod","1-100.",NA,99,99,NA,NA,NA,NA,NA,""
"24","infinity-022","94","prod","1-110.",NA,99,99,NA,NA,NA,NA,NA,""
"25","infinity-024","21","nonprod","1-14,16,11,11teen,19,21-24,27,29teen.",NA,14,24,NA,NA,15,15,NA,""
"26","infinity-024","21","nonprod","1-14,16,11,11teen,19,21-24,27,29teen.",NA,14,24,NA,NA,17,18,NA,""
"27","infinity-024","21","nonprod","1-14,16,11,11teen,19,21-24,27,29teen.",NA,14,24,NA,NA,20,20,NA,""
