"","LadlabID","Sex","Age","AgeGroup","AgeMonths","HCReceivedSupport","IHC","DCE","FHC","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary"
"1","infinity-001","f",4.17,"4-4.5y",50,"1",13,29,29,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"2","infinity-002","m",4.78,"4.5-5y",57,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"3","infinity-003","f",4,"4-4.5y",48,"0",5,NA,5,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"4","infinity-004","m",4.44,"4-4.5y",53,"0",15,NA,30,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"5","infinity-006","f",4.12,"4-4.5y",49,"1",39,39,39,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"6","infinity-007","f",4.41,"4-4.5y",52,"1",29,29,89,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"7","infinity-008","f",4.75,"4.5-5y",57,"0",38,NA,38,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"8","infinity-012","f",5.42,"5-5.5y",65,"0",39,39,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"9","infinity-014","f",4.25,"4-4.5y",51,"1",29,29,49,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"10","infinity-017","m",4.6,"4.5-5y",55,"0",13,NA,13,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"11","infinity-018","f",4.77,"4.5-5y",57,"0",77,NA,77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"12","infinity-019","m",4.48,"4-4.5y",53,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"13","infinity-020","m",4.37,"4-4.5y",52,"0",40,NA,40,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"14","infinity-021","f",4.96,"4.5-5y",59,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"15","infinity-022","m",4.21,"4-4.5y",50,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"16","infinity-024","m",4.27,"4-4.5y",51,"0",14,NA,24,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"17","infinity-026","m",4.79,"4.5-5y",57,"0",28,NA,38,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"18","infinity-027","f",4.95,"4.5-5y",59,"0",50,NA,50,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
