"","LadlabID","IHC","FHC","Age","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary","TaskItem_num","TaskItem_type","Accuracy","WithinOutsideIHC"
"1","infinity-001",13,29,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",0,"outside"
"2","infinity-001",13,29,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",40,"Item Type: Mid-decade",0,"outside"
"3","infinity-001",13,29,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",62,"Item Type: Mid-decade",0,"outside"
"4","infinity-001",13,29,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",70,"Item Type: Mid-decade",0,"outside"
"5","infinity-001",13,29,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",37,"Item Type: Mid-decade",0,"outside"
"6","infinity-001",13,29,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",29,"Item Type: Decade transition",0,"outside"
"7","infinity-001",13,29,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",86,"Item Type: Mid-decade",0,"outside"
"8","infinity-001",13,29,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",59,"Item Type: Decade transition",0,"outside"
"9","infinity-002",99,99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",23,"Item Type: Mid-decade",1,"within"
"10","infinity-002",99,99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",40,"Item Type: Mid-decade",1,"within"
"11","infinity-002",99,99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",62,"Item Type: Mid-decade",1,"within"
"12","infinity-002",99,99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",70,"Item Type: Mid-decade",1,"within"
"13","infinity-002",99,99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",37,"Item Type: Mid-decade",1,"within"
"14","infinity-002",99,99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",29,"Item Type: Decade transition",1,"within"
"15","infinity-002",99,99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",86,"Item Type: Mid-decade",1,"within"
"16","infinity-002",99,99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",59,"Item Type: Decade transition",1,"within"
"17","infinity-003",5,5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",23,"Item Type: Mid-decade",0,"outside"
