"","LadlabID","IHC","Age","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary","score","perc"
"1","infinity-001",13,4.17,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"2","infinity-002",99,4.78,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"3","infinity-003",5,4,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"4","infinity-004",15,4.44,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",1,0.125
"5","infinity-006",39,4.12,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",2,0.25
"6","infinity-007",29,4.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",0,0
"7","infinity-008",38,4.75,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",6,0.75
"8","infinity-012",39,5.42,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",8,1
"9","infinity-014",29,4.25,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",3,0.375
"10","infinity-017",13,4.6,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"11","infinity-018",77,4.77,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",7,0.875
"12","infinity-019",99,4.48,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"13","infinity-020",40,4.37,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",4,0.5
"14","infinity-021",99,4.96,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"15","infinity-022",99,4.21,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"16","infinity-024",14,4.27,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",2,0.25
"17","infinity-026",28,4.79,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",3,0.375
"18","infinity-027",50,4.95,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",5,0.625
"19","infinity-028",18,4.01,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",2,0.25
"20","infinity-029",40,4.32,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",6,0.75
"21","infinity-030",99,4.69,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",6,0.75
"22","infinity-031",14,4.47,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"23","infinity-033",10,4.49,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"24","infinity-034",49,4.66,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",6,0.75
"25","infinity-035",99,5.09,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",7,0.875
"26","infinity-036",54,4.35,"Productive","Productive (IHC < 99)","Nonproductive","Nonproductive",7,0.875
"27","infinity-037",12,4.61,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",5,0.625
"28","infinity-040",29,4.7,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",5,0.625
"29","infinity-041",12,4.48,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",5,0.625
"30","infinity-042",13,4.51,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"31","infinity-045",99,5.39,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"32","infinity-046",99,5.79,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"33","infinity-048",65,4.82,"Productive","Productive (IHC < 99)","Nonproductive","Nonproductive",2,0.25
