"","ExclusionGroup","Notes","Sex","DOT","Lang1","Bilingual","Lang2","Location","Experimenter","Enterer","AudioRecorded","Age","AgeGroup","InfinityInterviewDone","HCReceivedSupport","Task","TaskType","TaskItem","Accuracy","Response","HCGroup.spontaneous.noerror","HCGroup.final","HCGroup.best","IsProductive.noerror","IsProductive.final","PGroup.final","SuccessorKnower","EndlessKnower","Category","InfinityStage","DecadeCounter","DecadeKnowledge","EndlessPartial","LadlabID"
"1","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","spontaneous","raw",NA,"1-13,15-29,26,27","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"2","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","spontaneous","noerror",NA,"13","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"3","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","spontaneous","consecutive",NA,"29","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"4","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","supported","raw",NA,"[30],9","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"5","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","supported","noerror",NA,"29","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"6","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","spontaneous","IHC",NA,"13","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"7","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","spontaneous","decchangeerror",NA,"29","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"8","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","productivity","classification",NA,"nonprod","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"9","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","HC","supported","times",NA,"1","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"10","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","practice","1",1,"2","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"11","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","practice","5",1,"6","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"12","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","immediate","23",0,"idk","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"13","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","immediate","40",0,"idk","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"14","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","immediate","62",0,"idk","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"15","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","immediate","70",0,"7","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"16","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","immediate","37",0,"8","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"17","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","immediate","29",0,"7","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"18","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","immediate","86",0,"idk","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"19","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","immediate","59",0,"30","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"20","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","3",1,"4","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"21","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","23",0,"34","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"22","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","40",0,"thirty-ten","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"23","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","62",0,"7","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"24","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","70",0,"4","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"25","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","37",0,"8","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"26","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","29",0,"7","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"27","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","86",0,"70","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"28","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","WCN","momentum","59",0,"30","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"29","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","A1","BiggestNumber","none",NA,"7","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"30","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","B1","isBiggest","no",NA,"yes","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"31","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","B2","EndOrForever","forever",NA,"end","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"32","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","B2","Why","justification",NA,"NR","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"33","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","C1","CanWeAddToBigNumber","yes",NA,"no","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"34","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","C1","why","justification",NA,"8","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"35","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","C2","CanWeAdd1toX","yes",NA,"no","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"36","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","C2","why","justification",NA,"NR","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"37","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","C3","CanKeepAdding1","yes",NA,"yes","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"38","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","C3","why","justification",NA,"NR","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"39","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","C3","WhatWouldHappen","justification",NA,"L, 2","1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"40","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","D1","CanYouCountTens","yes",NA,NA,"1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"41","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","D2","CountingByTens","yes",NA,NA,"1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
"42","include","","f","1/5/16","English","no",NA,"museum","JC","JC","no",4.17,"4-4.5y","yes","1","D3","TenMoreThanTen","twenty",NA,NA,"1-low","2-medium","2-medium",0,0,"2-Unproductive",0,0,"A Non-knower",1,NA,NA,0,"infinity-001"
