LadlabID,ExclusionGroup,Notes,Gender,DOT,Lang1,Bilingual,Lang2,Location,Experimenter,Enterer,AudioRecorded,Age,AgeGroup,InfinityInterviewDone,HCReceivedSupport,Task,TaskType,TaskItem,Accuracy,Response,IsProductive.noerror,IsProductive.final,SuccessorKnower,EndlessKnower,Category,InfinityStage,DecadeCounter,DecadeKnowledge,EndlessPartial
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,raw,,"1-13,15-29,26,27",0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,noerror,,13,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,consecutive,,29,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,supported,raw,,"[30],9",0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,supported,noerror,,29,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,IHC,,13,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,spontaneous,decchangeerror,,29,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,productivity,classification,,nonprod,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,HC,supported,times,,1,0,0,0,0,A Non-knower,1,NA,NA,0
010516-K4,include,,f,5/1/16,English,no,NA,museum,JC,JC,no,4.17,4-4.5y,yes,1,WCN,practice,1,1,2,0,0,0,0,A Non-knower,1,NA,NA,0
