"","Gender","Age","AgeGroup","HCReceivedSupport","productivity","spon.consec","dce","ihc","junyi.ihc","productivity_junyi","notes_junyi","productivity_rms","prod_tomerge","ihc_rms","ihc_tomerge","fhc_rms","fhc_pc_indnum..seq","fhc_tomerge","spon.raw","sup.noerror","sup.raw","sup.times","notes_rms","undetected_error","why_productive","reminders.total","reminders.recovered","notes_SL","participant"
"1","f",4.17,"4-4.5y",1,"nonprod",29,29,13,13,"nonprod","","nonprod","nonprod",13,13,29,"29",29,"1-13,15-29,26,27",29,"[30],9",1,"","","",NA,NA,"not audio recorded","infinity-001"
"2","m",4.78,"4.5-5y",0,"prod",111,NA,111,111,"prod","","prod","prod",111,111,111,"111",111,"1-111.",NA,NA,NA,"","","count to 99 on their own without making more than three errors",NA,NA,"not audio recorded","infinity-002"
"3","f",4,"4-4.5y",0,NA,5,NA,5,5,"nonprod","","nonprod","nonprod",5,5,12,"5",5,"1-5,11,12,16,9,12,16.",NA,NA,NA,"coding FHC: because it seems like kid was generating numbers randomly, opted to classify FHC as the highest number reached when part of at least a two-number correct count sequence.","multiple errors before stopping mid-decade","",NA,NA,"not audio recorded","infinity-003"
"4","m",4.44,"4-4.5y",0,NA,30,NA,15,15,"nonprod","","nonprod","nonprod",15,15,37,"30",30,"1-15,20-24,26-30,36,37,59.",NA,NA,NA,"coding FHC: because it seems like kid was generating numbers randomly, opted to classify FHC as the highest number reached when part of at least a two-number correct count sequence.","","",NA,NA,"not audio recorded","infinity-004"
"5","f",4.12,"4-4.5y",1,"nonprod",39,39,39,39,"nonprod","","nonprod","nonprod",39,39,39,"39",39,"1-39,80.",39,"[40]",1,"","","",NA,NA,"not audio recorded","infinity-006"
"6","f",4.41,"4-4.5y",1,"prod",29,29,29,29,"prod","","prod","prod",29,29,89,"89",89,"1-29,40.",89,"[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",7,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",NA,NA,"not audio recorded","infinity-007"
"7","f",4.75,"4.5-5y",0,NA,38,NA,26,38,"nonprod","","nonprod","nonprod",26,26,38,"38",38,"1-26,29,22-38.",NA,NA,NA,"coding FHC: because it seems like kid was generating numbers randomly, opted to classify FHC as the highest number reached when part of at least a two-number correct count sequence.","multiple errors before stopping mid-decade","",NA,NA,"not audio recorded","infinity-008"
"8","f",4.46,"4-4.5y",0,NA,20,NA,20,20,"nonprod","","nonprod","nonprod",20,20,20,"20",20,"1-20.",NA,NA,NA,"","","",NA,NA,"not audio recorded","infinity-009"
"9","F",5.42,"5-5.5y",0,"prod",109,39,39,39,"prod","","prod","prod",39,39,109,"39--109",109,"1-39,50-109,a billion, a billion and one-, a billion and two, a billion and three, a billion and four, a billion and five, a billion and six, a billion and seven, a billion and eight, a billion and nine, a jillion. [37,38,39],40-55",NA,NA,NA,"","","count to 99 on their own without making more than three errors",2,2,"2 reminders first try 2 recoveries 2 reminder second try plus 2 recovery","infinity-012"
"10","f",4.25,"4-4.5y",1,"prod",29,29,29,29,"prod","","prod","prod",29,29,49,"49",49,"1-29, twenty-ten",49,"[30],31-39,[40],41-49,[50],idk",3,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",NA,NA,"not audio recorded","infinity-014"
"11","m",4.6,"4.5-5y",0,NA,13,NA,13,13,"nonprod","","nonprod","nonprod",13,13,17,"13",13,"1-13,16,17,25, 65",NA,NA,NA,"coding FHC: because it seems like kid was generating numbers randomly, opted to classify FHC as the highest number reached when part of at least a two-number correct count sequence.","multiple errors before stopping mid-decade","",NA,NA,"not audio recorded","infinity-017"
"12","f",4.77,"4.5-5y",0,NA,77,NA,77,77,"nonprod","","nonprod","nonprod",77,77,77,"77",77,"1-77,107",NA,NA,NA,"","","",NA,NA,"not audio recorded","infinity-018"
"13","m",4.48,"4-4.5y",0,"prod",110,NA,110,110,"prod","","prod","prod",110,110,110,"110",110,"1-110.",NA,NA,NA,"","","count to 99 on their own without making more than three errors",NA,NA,"not audio recorded","infinity-019"
"14","m",4.37,"4-4.5y",0,NA,40,NA,40,40,"nonprod","","nonprod","nonprod",40,40,40,"40",40,"1-40.",NA,NA,NA,"","","",NA,NA,"not audio recorded","infinity-020"
"15","f",4.96,"4.5-5y",0,"prod",100,NA,100,100,"prod","","prod","prod",100,100,100,"100",100,"1-100.",NA,NA,NA,"","","count to 99 on their own without making more than three errors",NA,NA,"not audio recorded","infinity-021"
