"","LadlabID","prod_tomerge","ihc_tomerge","fhc_tomerge","dce","sup.raw","reminders.total","reminders.recovered","notes_SL"
"1","infinity-001","nonprod",13,29,29,"[30],9",NA,NA,"not audio recorded"
"2","infinity-002","prod",111,111,NA,NA,NA,NA,"not audio recorded"
"3","infinity-003","nonprod",5,5,NA,NA,NA,NA,"not audio recorded"
"4","infinity-004","nonprod",15,30,NA,NA,NA,NA,"not audio recorded"
"5","infinity-006","nonprod",39,39,39,"[40]",NA,NA,"not audio recorded"
"6","infinity-007","prod",29,89,29,"[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",NA,NA,"not audio recorded"
"7","infinity-008","nonprod",26,38,NA,NA,NA,NA,"not audio recorded"
"8","infinity-009","nonprod",20,20,NA,NA,NA,NA,"not audio recorded"
"9","infinity-012","prod",39,109,39,NA,2,2,"2 reminders first try 2 recoveries 2 reminder second try plus 2 recovery"
"10","infinity-014","prod",29,49,29,"[30],31-39,[40],41-49,[50],idk",NA,NA,"not audio recorded"
"11","infinity-017","nonprod",13,13,NA,NA,NA,NA,"not audio recorded"
"12","infinity-018","nonprod",77,77,NA,NA,NA,NA,"not audio recorded"
"13","infinity-019","prod",110,110,NA,NA,NA,NA,"not audio recorded"
"14","infinity-020","nonprod",40,40,NA,NA,NA,NA,"not audio recorded"
"15","infinity-021","prod",100,100,NA,NA,NA,NA,"not audio recorded"
"16","infinity-022","prod",110,110,NA,NA,NA,NA,"not audio recorded"
"17","infinity-024","nonprod",14,24,NA,NA,NA,NA,"not audio recorded"
"18","infinity-025","nonprod",15,15,NA,NA,NA,NA,"not audio recorded"
"19","infinity-026","nonprod",28,38,NA,NA,NA,NA,"not audio recorded"
"20","infinity-027","nonprod",50,50,NA,NA,NA,NA,"not audio recorded"
"21","infinity-028","nonprod",18,18,NA,NA,NA,NA,"not audio recorded"
"22","infinity-029","nonprod",40,40,NA,NA,NA,NA,"not audio recorded"
"23","infinity-030","prod",99,99,99,"[100]",1,1,""
"24","infinity-031","nonprod",14,20,NA,NA,1,0,""
"25","infinity-032","nonprod",10,10,NA,NA,NA,NA,"says audio recorded but not on server"
"26","infinity-033","nonprod",10,29,29,NA,1,0,""
"27","infinity-034","prod",49,109,49,"[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-109,[110]",1,1,"first try 2 reminders 2 recoveries second try 1 reminder 1 recovery"
"28","infinity-035","prod",109,109,NA,NA,NA,NA,"not audio recorded"
